[dotenv@17.2.4] injecting env (3) from .env -- tip: 🔐 prevent building .env in docker: https://dotenvx.com/prebuild
Server running at http://localhost:3002
2026-02-06T10:33:37.756Z - GET /api/scores
(node:23844) Warning: SECURITY WARNING: The SSL modes 'prefer', 'require', and 'verify-ca' are treated as aliases for 'verify-full'.
In the next major version (pg-connection-string v3.0.0 and pg v9.0.0), these modes will adopt standard libpq semantics, which have weaker security guarantees.

To prepare for this change:
- If you want the current behavior, explicitly use 'sslmode=verify-full'
- If you want libpq compatibility now, use 'uselibpqcompat=true&sslmode=require'

See https://www.postgresql.org/docs/current/libpq-ssl.html for libpq SSL mode definitions.
(Use `node --trace-warnings ...` to show where the warning was created)
2026-02-06T10:33:51.778Z - GET /
2026-02-06T10:33:52.034Z - GET /api/config
2026-02-06T10:33:52.142Z - GET /favicon.ico
2026-02-06T10:33:53.803Z - GET /api/scores
2026-02-06T10:35:11.103Z - GET /
2026-02-06T10:35:11.122Z - GET /
2026-02-06T10:35:11.164Z - GET /api/config
2026-02-06T10:35:11.239Z - GET /api/config
2026-02-06T10:35:11.294Z - GET /favicon.ico
2026-02-06T10:35:11.315Z - GET /favicon.ico
2026-02-06T10:35:11.673Z - GET /api/scores
2026-02-06T10:35:13.554Z - GET /api/scores
2026-02-06T10:37:28.809Z - GET /
2026-02-06T10:37:29.099Z - GET /api/config
2026-02-06T10:37:29.252Z - GET /favicon.ico
2026-02-06T10:37:30.638Z - GET /api/scores
2026-02-06T10:39:08.864Z - GET /
2026-02-06T10:39:09.478Z - GET /api/config
2026-02-06T10:39:09.765Z - GET /favicon.ico
2026-02-06T10:39:09.918Z - GET /favicon.ico
2026-02-06T10:39:11.322Z - GET /api/scores
2026-02-06T10:39:11.326Z - GET /favicon.ico
2026-02-06T10:39:16.503Z - GET /favicon.ico
2026-02-06T10:39:16.633Z - GET /favicon.ico
2026-02-06T10:39:16.754Z - GET /favicon.ico
2026-02-06T10:39:16.882Z - GET /favicon.ico
2026-02-06T10:39:16.994Z - GET /favicon.ico
2026-02-06T10:39:17.265Z - GET /favicon.ico
2026-02-06T10:39:17.372Z - GET /favicon.ico
2026-02-06T10:39:17.517Z - GET /favicon.ico
2026-02-06T10:39:17.633Z - GET /favicon.ico
2026-02-06T10:39:17.742Z - GET /favicon.ico
2026-02-06T10:39:17.859Z - GET /favicon.ico
2026-02-06T10:39:17.978Z - GET /favicon.ico
2026-02-06T10:39:18.080Z - GET /favicon.ico
2026-02-06T10:39:18.173Z - GET /favicon.ico
2026-02-06T10:39:18.263Z - GET /favicon.ico
2026-02-06T10:39:18.362Z - GET /favicon.ico
2026-02-06T10:39:18.479Z - GET /favicon.ico
2026-02-06T10:39:18.573Z - GET /favicon.ico
2026-02-06T10:39:18.662Z - GET /favicon.ico
2026-02-06T10:39:18.787Z - GET /favicon.ico
2026-02-06T10:39:18.905Z - GET /favicon.ico
2026-02-06T10:39:19.008Z - GET /favicon.ico
2026-02-06T10:39:19.142Z - GET /favicon.ico
2026-02-06T10:39:19.237Z - GET /favicon.ico
2026-02-06T10:39:19.362Z - GET /favicon.ico
2026-02-06T10:39:19.472Z - GET /favicon.ico
2026-02-06T10:39:19.587Z - GET /favicon.ico
2026-02-06T10:39:19.709Z - GET /favicon.ico
2026-02-06T10:39:19.802Z - GET /favicon.ico
2026-02-06T10:39:19.907Z - GET /favicon.ico
2026-02-06T10:39:20.007Z - GET /favicon.ico
2026-02-06T10:39:20.124Z - GET /favicon.ico
2026-02-06T10:39:20.237Z - GET /favicon.ico
2026-02-06T10:39:20.323Z - GET /favicon.ico
2026-02-06T10:39:20.416Z - GET /favicon.ico
2026-02-06T10:39:20.517Z - GET /favicon.ico
2026-02-06T10:39:20.623Z - GET /favicon.ico
2026-02-06T10:39:20.742Z - GET /favicon.ico
2026-02-06T10:39:20.858Z - GET /favicon.ico
2026-02-06T10:39:20.973Z - GET /favicon.ico
2026-02-06T10:39:21.078Z - GET /favicon.ico
2026-02-06T10:39:21.181Z - GET /favicon.ico
2026-02-06T10:39:21.293Z - GET /favicon.ico
2026-02-06T10:39:21.382Z - GET /favicon.ico
2026-02-06T10:39:21.492Z - GET /favicon.ico
2026-02-06T10:39:21.607Z - GET /favicon.ico
2026-02-06T10:39:21.729Z - GET /favicon.ico
2026-02-06T10:39:21.834Z - GET /favicon.ico
2026-02-06T10:39:21.956Z - GET /favicon.ico
2026-02-06T10:39:22.057Z - GET /favicon.ico
2026-02-06T10:39:22.172Z - GET /favicon.ico
